"survey_year","site","island","site_status","den_MACPYRAD","den_MACSTIPES","den_PCLA","bm_PCLA","den_CPUN","bm_CPUN"
2020,"ANACAPA_LIGHTHOUSE_REEF_W","ANA","reference",15.25,95.25,2.625,0.577118177354945,9.625,0.135711737953583
2021,"ANACAPA_LIGHTHOUSE_REEF_W","ANA","reference",13.75,59.5,2.125,0.527360083603666,1.75,0.0532510869270723
2015,"ANACAPA_MIDDLE_ISLE_CEN","ANA","mpa",4,13.5,8.125,0.514546388098571,51.25,0.664770519724468
2016,"ANACAPA_MIDDLE_ISLE_CEN","ANA","mpa",2.25,5.25,7.25,1.22651352242584,36.375,0.932287797874745
2017,"ANACAPA_MIDDLE_ISLE_CEN","ANA","mpa",48.75,127.5,4.875,1.14274447839767,5.375,0.104011215115304
2018,"ANACAPA_MIDDLE_ISLE_CEN","ANA","mpa",51.5,516,6.875,0.578047753796775,4.5,0.145235614139885
2019,"ANACAPA_MIDDLE_ISLE_CEN","ANA","mpa",82.5,190.5,7.625,1.69557836025978,6,0.142343734347407
2020,"ANACAPA_MIDDLE_ISLE_CEN","ANA","mpa",20.5,180.25,6.5,0.471547741633015,1.125,0.0235667512316836
2021,"ANACAPA_MIDDLE_ISLE_CEN","ANA","mpa",30.5,74.25,4.625,1.00144299217068,2.25,0.031438713890397
2015,"ANACAPA_MIDDLE_ISLE_E","ANA","mpa",42,363.5,5.125,0.153990370633477,15.375,0.155267482601924
2016,"ANACAPA_MIDDLE_ISLE_E","ANA","mpa",3,12.25,6.875,1.10891385496327,28.625,0.296447734191007
2017,"ANACAPA_MIDDLE_ISLE_E","ANA","mpa",47.5,166,5.125,0.701959355197224,19.25,0.410377378173708
2018,"ANACAPA_MIDDLE_ISLE_E","ANA","mpa",44.5,325.5,5,0.407853772139984,2.5,0.0683207602348219
2019,"ANACAPA_MIDDLE_ISLE_E","ANA","mpa",123.5,391.5,2.625,0.162012959640784,2.625,0.0187929142781802
2020,"ANACAPA_MIDDLE_ISLE_E","ANA","mpa",44.5,373.75,3.625,0.188838523333731,1.75,0.0639120684292789
2021,"ANACAPA_MIDDLE_ISLE_E","ANA","mpa",191.5,643.25,4.625,0.676743363318913,3.625,0.0470790473232588
2015,"ANACAPA_MIDDLE_ISLE_W","ANA","mpa",15.5,74,3.375,0.26222733341715,50.375,0.296760713314
2016,"ANACAPA_MIDDLE_ISLE_W","ANA","mpa",1,1.5,2.875,0.751574927368887,33.375,0.559522868523599
2017,"ANACAPA_MIDDLE_ISLE_W","ANA","mpa",193.5,539.75,5.5,2.02195918178395,4.375,0.0606233426395503
2018,"ANACAPA_MIDDLE_ISLE_W","ANA","mpa",55,378.5,3.125,0.998852976331728,5.75,0.0779476136186411
2019,"ANACAPA_MIDDLE_ISLE_W","ANA","mpa",96.25,317.25,2.125,0.331988564647789,5.25,0.137406402184627
2020,"ANACAPA_MIDDLE_ISLE_W","ANA","mpa",63,266,3.625,0.709738583162356,3.25,0.112331822292652
2021,"ANACAPA_MIDDLE_ISLE_W","ANA","mpa",84.5,329.75,2.25,0.657034298801757,3.625,0.0439091696679501
2015,"ANACAPA_WEST_ISLE_CEN","ANA","mpa",1,1.5,8.875,2.10722030066779,20.5,0.403943546276673
2016,"ANACAPA_WEST_ISLE_CEN","ANA","mpa",25.25,87.5,10.125,3.18316925831394,56.875,2.47592979820979
2017,"ANACAPA_WEST_ISLE_CEN","ANA","mpa",129.5,461.5,6.875,1.74687800144419,7.625,0.154827990270087
2018,"ANACAPA_WEST_ISLE_CEN","ANA","mpa",118.75,475.25,2.625,0.577355032987513,9,0.182217139339759
2019,"ANACAPA_WEST_ISLE_CEN","ANA","mpa",141.5,525.5,5.625,1.67113567026488,4.25,0.11465649926191
2020,"ANACAPA_WEST_ISLE_CEN","ANA","mpa",74.25,341,4.875,0.836149051101772,8.5,0.112249618851132
2021,"ANACAPA_WEST_ISLE_CEN","ANA","mpa",108,369,2,0.430439487081148,7.875,0.219670902710789
2015,"ANACAPA_WEST_ISLE_E","ANA","mpa",32.5,113.5,9.5,1.8994500584048,39,0.872335779094494
2016,"ANACAPA_WEST_ISLE_E","ANA","mpa",52,160.25,12.375,3.09533104556101,69.875,1.85698222144591
2017,"ANACAPA_WEST_ISLE_E","ANA","mpa",174.25,610,8.125,2.87122470670345,15.75,0.356138878523354
2018,"ANACAPA_WEST_ISLE_E","ANA","mpa",110.5,530,7.375,1.09911348661975,10.625,0.241853395639357
2019,"ANACAPA_WEST_ISLE_E","ANA","mpa",217.25,653.25,4.625,0.515632648921982,7.875,0.124353667370616
2020,"ANACAPA_WEST_ISLE_E","ANA","mpa",58.25,493.25,3.375,0.572109290616581,3.875,0.0933397458606716
2021,"ANACAPA_WEST_ISLE_E","ANA","mpa",103.5,414.5,4,1.04843995080786,8.875,0.133832461017683
2015,"ANACAPA_WEST_ISLE_W","ANA","mpa",35.25,122.75,9.625,1.94053636302928,24.75,0.184887950201337
2016,"ANACAPA_WEST_ISLE_W","ANA","mpa",19.25,56.25,14,3.32329069070811,43.625,0.664257249427408
2017,"ANACAPA_WEST_ISLE_W","ANA","mpa",79.25,297.5,6.75,2.31325580085023,11.375,0.305682374182437
2018,"ANACAPA_WEST_ISLE_W","ANA","mpa",103.75,358.75,7.625,3.4044796482681,6.5,0.532306102771233
2019,"ANACAPA_WEST_ISLE_W","ANA","mpa",93,313.75,3.25,1.02406661146066,31.875,1.01393050259225
2020,"ANACAPA_WEST_ISLE_W","ANA","mpa",39.75,134.25,3.625,1.0686280463869,1.125,0.0101359115976057
2021,"ANACAPA_WEST_ISLE_W","ANA","mpa",67,167.75,4.5,1.40183630814276,10.625,0.273576060881744
2015,"SCI_CAVERN_POINT_E","SCI","mpa",20.16666667,172.1666667,8.66666666666667,1.02129606793963,23.6666666666667,0.609401231358326
2016,"SCI_CAVERN_POINT_E","SCI","mpa",7.166666667,22.33333333,7.83333333333333,1.93978453300346,44.75,0.570017756887129
2017,"SCI_CAVERN_POINT_E","SCI","mpa",19.83333,171.5,6.16666666666667,1.78023178480433,19.9166666666667,0.396563040936229
2018,"SCI_CAVERN_POINT_E","SCI","mpa",26.16667,290.5,6.16666666666667,0.763446348662574,7.25,0.218089359404948
2019,"SCI_CAVERN_POINT_E","SCI","mpa",67.5,195,5.66666666666667,1.19025539987314,12.75,0.44812999851807
2020,"SCI_CAVERN_POINT_E","SCI","mpa",20.5,274,6.16666666666667,0.961724974114461,4.41666666666667,0.106148311417001
2021,"SCI_CAVERN_POINT_E","SCI","mpa",14.16667,69.16667,3.08333333333333,0.720651883299367,3.75,0.120366742300131
2015,"SCI_CAVERN_POINT_W","SCI","mpa",43.5,324.5,17,1.38928929896355,32.6666666666667,0.380732798687317
2016,"SCI_CAVERN_POINT_W","SCI","mpa",7,14.16666667,12.6666666666667,3.28716548873355,89.1666666666667,1.71805266531646
2017,"SCI_CAVERN_POINT_W","SCI","mpa",131.8333,412.1667,11,3.76023634115027,9.91666666666667,0.240022181114122
